dataset_key,window_index,start_row,end_row,label_purity
xmu_1,0,0,599,1.0
xmu_1,1,150,749,1.0
xmu_1,2,300,899,1.0
xmu_1,3,450,1049,1.0
xmu_1,4,600,1199,1.0
xmu_1,5,750,1349,1.0
xmu_1,6,900,1499,1.0
xmu_1,7,1050,1649,1.0
xmu_1,8,1200,1799,1.0
xmu_1,9,1350,1949,1.0
xmu_1,10,1500,2099,1.0
xmu_1,11,1650,2249,1.0
xmu_1,12,1800,2399,1.0
xmu_1,13,1950,2549,1.0
xmu_1,14,2100,2699,1.0
xmu_1,15,2250,2849,1.0
xmu_1,16,2400,2999,1.0
xmu_1,17,2550,3149,1.0
xmu_1,18,2700,3299,1.0
xmu_1,19,2850,3449,1.0
xmu_1,20,3000,3599,1.0
xmu_1,21,3150,3749,1.0
xmu_1,22,3300,3899,1.0
xmu_1,23,3450,4049,1.0
xmu_1,24,3600,4199,1.0
xmu_1,25,3750,4349,1.0
xmu_1,26,3900,4499,1.0
xmu_1,27,4050,4649,1.0
xmu_1,28,4200,4799,1.0
xmu_1,29,4350,4949,1.0
xmu_1,30,4500,5099,1.0
xmu_1,31,4650,5249,1.0
xmu_1,32,4800,5399,1.0
xmu_1,33,4950,5549,1.0
xmu_1,34,5100,5699,1.0
xmu_1,35,5250,5849,1.0
xmu_1,36,5400,5999,1.0
xmu_1,37,5550,6149,1.0
xmu_1,38,5700,6299,1.0
xmu_1,39,5850,6449,1.0
xmu_1,40,6000,6599,1.0
xmu_1,41,6150,6749,1.0
xmu_1,42,6300,6899,1.0
xmu_1,43,6450,7049,1.0
xmu_1,44,6600,7199,1.0
xmu_1,45,6750,7349,1.0
xmu_1,46,6900,7499,1.0
xmu_1,47,7050,7649,1.0
xmu_1,48,7200,7799,1.0
xmu_1,49,7350,7949,1.0
xmu_1,50,7500,8099,1.0
xmu_1,51,7650,8249,1.0
xmu_1,52,7800,8399,1.0
xmu_1,53,7950,8549,1.0
xmu_1,54,8100,8699,1.0
xmu_1,55,8250,8849,1.0
xmu_1,56,8400,8999,1.0
xmu_1,57,8550,9149,1.0
xmu_1,58,8700,9299,1.0
xmu_1,59,8850,9449,1.0
xmu_1,60,9000,9599,1.0
xmu_1,61,9150,9749,1.0
xmu_1,62,9300,9899,1.0
xmu_1,63,9450,10049,1.0
xmu_1,64,9600,10199,1.0
xmu_1,65,9750,10349,1.0
xmu_1,66,9900,10499,1.0
xmu_1,67,10050,10649,1.0
xmu_1,68,10200,10799,1.0
xmu_1,69,10350,10949,1.0
xmu_1,70,10500,11099,1.0
xmu_1,71,10650,11249,1.0
xmu_1,72,10800,11399,1.0
xmu_1,73,10950,11549,1.0
xmu_1,74,11100,11699,1.0
xmu_1,75,11250,11849,1.0
xmu_1,76,11400,11999,1.0
xmu_1,77,11550,12149,1.0
xmu_1,78,11700,12299,1.0
xmu_1,79,11850,12449,1.0
xmu_1,80,12000,12599,1.0
xmu_1,81,12150,12749,1.0
xmu_1,82,12300,12899,1.0
xmu_1,83,12450,13049,1.0
xmu_1,84,12600,13199,1.0
xmu_1,85,12750,13349,1.0
xmu_1,86,12900,13499,1.0
xmu_1,87,13050,13649,1.0
xmu_1,88,13200,13799,1.0
xmu_1,89,13350,13949,1.0
xmu_1,90,13500,14099,1.0
xmu_1,91,13650,14249,1.0
xmu_1,92,13800,14399,1.0
xmu_1,93,13950,14549,1.0
xmu_1,94,14100,14699,1.0
xmu_1,95,14250,14849,1.0
xmu_1,96,14400,14999,1.0
xmu_1,97,14550,15149,1.0
