dataset_key,window_index,start_row,end_row,label_purity
xmu_2,0,0,599,1.0
xmu_2,1,150,749,1.0
xmu_2,2,300,899,1.0
xmu_2,3,450,1049,1.0
xmu_2,4,600,1199,1.0
xmu_2,5,750,1349,1.0
xmu_2,6,900,1499,1.0
xmu_2,7,1050,1649,1.0
xmu_2,8,1200,1799,1.0
xmu_2,9,1350,1949,1.0
xmu_2,10,1500,2099,1.0
xmu_2,11,1650,2249,1.0
xmu_2,12,1800,2399,1.0
xmu_2,13,1950,2549,1.0
xmu_2,14,2100,2699,1.0
xmu_2,15,2250,2849,1.0
xmu_2,16,2400,2999,1.0
xmu_2,17,2550,3149,1.0
xmu_2,18,2700,3299,1.0
xmu_2,19,2850,3449,1.0
xmu_2,20,3000,3599,1.0
xmu_2,21,3150,3749,1.0
xmu_2,22,3300,3899,1.0
xmu_2,23,3450,4049,1.0
xmu_2,24,3600,4199,1.0
xmu_2,25,3750,4349,1.0
xmu_2,26,3900,4499,1.0
xmu_2,27,4050,4649,1.0
xmu_2,28,4200,4799,1.0
xmu_2,29,4350,4949,1.0
xmu_2,30,4500,5099,1.0
xmu_2,31,4650,5249,1.0
xmu_2,32,4800,5399,1.0
xmu_2,33,4950,5549,1.0
xmu_2,34,5100,5699,1.0
xmu_2,35,5250,5849,1.0
xmu_2,36,5400,5999,1.0
xmu_2,37,5550,6149,1.0
xmu_2,38,5700,6299,1.0
xmu_2,39,5850,6449,1.0
xmu_2,40,6000,6599,1.0
xmu_2,41,6150,6749,1.0
xmu_2,42,6300,6899,1.0
xmu_2,43,6450,7049,0.9516666531562805
xmu_2,47,7050,7649,1.0
xmu_2,48,7200,7799,1.0
xmu_2,49,7350,7949,1.0
xmu_2,50,7500,8099,1.0
xmu_2,51,7650,8249,1.0
xmu_2,52,7800,8399,1.0
xmu_2,53,7950,8549,1.0
xmu_2,54,8100,8699,1.0
xmu_2,55,8250,8849,1.0
xmu_2,56,8400,8999,1.0
xmu_2,57,8550,9149,1.0
xmu_2,58,8700,9299,1.0
xmu_2,59,8850,9449,1.0
xmu_2,60,9000,9599,1.0
xmu_2,61,9150,9749,1.0
xmu_2,62,9300,9899,1.0
xmu_2,63,9450,10049,1.0
xmu_2,64,9600,10199,1.0
xmu_2,65,9750,10349,1.0
xmu_2,66,9900,10499,1.0
xmu_2,67,10050,10649,1.0
xmu_2,68,10200,10799,1.0
xmu_2,69,10350,10949,1.0
xmu_2,70,10500,11099,1.0
xmu_2,71,10650,11249,1.0
xmu_2,72,10800,11399,1.0
xmu_2,73,10950,11549,1.0
xmu_2,74,11100,11699,1.0
xmu_2,75,11250,11849,1.0
xmu_2,76,11400,11999,1.0
xmu_2,77,11550,12149,1.0
xmu_2,78,11700,12299,1.0
xmu_2,79,11850,12449,1.0
xmu_2,80,12000,12599,1.0
xmu_2,81,12150,12749,1.0
xmu_2,82,12300,12899,1.0
xmu_2,83,12450,13049,1.0
xmu_2,84,12600,13199,1.0
xmu_2,85,12750,13349,1.0
xmu_2,86,12900,13499,1.0
xmu_2,87,13050,13649,1.0
xmu_2,88,13200,13799,1.0
xmu_2,89,13350,13949,1.0
xmu_2,90,13500,14099,1.0
xmu_2,91,13650,14249,1.0
xmu_2,92,13800,14399,1.0
xmu_2,93,13950,14549,1.0
xmu_2,94,14100,14699,1.0
xmu_2,95,14250,14849,1.0
xmu_2,96,14400,14999,1.0
xmu_2,97,14550,15149,1.0
xmu_2,98,14700,15299,1.0
xmu_2,99,14850,15449,1.0
xmu_2,100,15000,15599,1.0
xmu_2,101,15150,15749,1.0
xmu_2,102,15300,15899,1.0
xmu_2,103,15450,16049,1.0
xmu_2,104,15600,16199,1.0
xmu_2,105,15750,16349,1.0
xmu_2,106,15900,16499,1.0
xmu_2,107,16050,16649,1.0
xmu_2,108,16200,16799,1.0
xmu_2,109,16350,16949,1.0
xmu_2,110,16500,17099,1.0
xmu_2,111,16650,17249,1.0
xmu_2,112,16800,17399,1.0
xmu_2,113,16950,17549,1.0
xmu_2,114,17100,17699,1.0
xmu_2,115,17250,17849,1.0
xmu_2,116,17400,17999,1.0
xmu_2,117,17550,18149,1.0
xmu_2,118,17700,18299,1.0
xmu_2,119,17850,18449,1.0
xmu_2,120,18000,18599,1.0
xmu_2,121,18150,18749,1.0
xmu_2,122,18300,18899,1.0
xmu_2,123,18450,19049,1.0
xmu_2,124,18600,19199,1.0
xmu_2,125,18750,19349,1.0
xmu_2,126,18900,19499,1.0
xmu_2,127,19050,19649,1.0
xmu_2,128,19200,19799,1.0
xmu_2,129,19350,19949,1.0
xmu_2,130,19500,20099,1.0
xmu_2,131,19650,20249,1.0
xmu_2,132,19800,20399,1.0
xmu_2,133,19950,20549,1.0
xmu_2,134,20100,20699,1.0
xmu_2,135,20250,20849,1.0
xmu_2,136,20400,20999,1.0
xmu_2,137,20550,21149,1.0
